Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
11-2014,TOTAL PATATAS,11891.16,9213.53,0.77,15.29,HIPERMERCADOS,2014,11
11-2014,PATATAS FRESCAS,6634.2,3709.15,0.56,7.81,HIPERMERCADOS,2014,11
11-2014,PATATAS CONGELADAS,454.33,575.03,1.27,1.45,HIPERMERCADOS,2014,11
11-2014,PATATAS PROCESADAS,960.53,4929.36,5.13,9.76,HIPERMERCADOS,2014,11
11-2014,T.HORTALIZAS FRESCAS,17262.0,30516.89,1.77,26.36,HIPERMERCADOS,2014,11
11-2014,TOMATES,3776.07,6297.82,1.67,13.42,HIPERMERCADOS,2014,11
11-2014,CEBOLLAS,2526.92,2465.07,0.98,9.15,HIPERMERCADOS,2014,11
11-2014,AJOS,221.23,974.8,4.41,0.32,HIPERMERCADOS,2014,11
11-2014,COLES,487.07,517.92,1.06,1.99,HIPERMERCADOS,2014,11
11-2014,PEPINOS,379.66,512.33,1.35,2.51,HIPERMERCADOS,2014,11
11-2014,JUDIAS VERDES,351.05,1110.81,3.16,2.73,HIPERMERCADOS,2014,11
11-2014,PIMIENTOS,1539.13,2511.28,1.63,9.78,HIPERMERCADOS,2014,11
11-2014,CHAMPIÑONES+O.SETAS,506.75,2063.2,4.07,4.18,HIPERMERCADOS,2014,11
11-2014,LECHUGA/ESC./ENDIVIA,1060.25,3202.12,3.02,8.05,HIPERMERCADOS,2014,11
11-2014,ESPARRAGOS,89.46,340.02,0.38,0.67,HIPERMERCADOS,2014,11
11-2014,VERDURAS DE HOJA,222.33,786.34,3.54,2.33,HIPERMERCADOS,2014,11
11-2014,BERENJENAS,493.96,591.94,0.12,3.12,HIPERMERCADOS,2014,11
11-2014,ZANAHORIAS,1340.99,952.69,0.71,7.29,HIPERMERCADOS,2014,11
11-2014,CALABACINES,1399.99,1807.52,1.29,6.19,HIPERMERCADOS,2014,11
11-2014,OTR.HORTALIZAS/VERD.,2867.12,6383.03,2.23,13.54,HIPERMERCADOS,2014,11
11-2014,VERD./HORT. IV GAMA,874.99,4011.57,4.58,7.62,HIPERMERCADOS,2014,11
11-2014,VERD./HORT. ECOLOGIC,470.7,856.49,1.82,2.13,HIPERMERCADOS,2014,11
12-2014,TOTAL PATATAS,13962.98,11188.69,0.08,18.32,HIPERMERCADOS,2014,12
12-2014,PATATAS FRESCAS,7785.67,4751.16,0.61,9.28,HIPERMERCADOS,2014,12
12-2014,PATATAS CONGELADAS,404.38,527.3,0.13,1.59,HIPERMERCADOS,2014,12
12-2014,PATATAS PROCESADAS,1154.59,5910.23,5.12,11.61,HIPERMERCADOS,2014,12
12-2014,T.HORTALIZAS FRESCAS,16431.36,29770.12,1.81,28.99,HIPERMERCADOS,2014,12
12-2014,TOMATES,2899.63,4941.07,0.17,12.69,HIPERMERCADOS,2014,12
12-2014,CEBOLLAS,2740.98,2709.97,0.99,10.05,HIPERMERCADOS,2014,12
12-2014,AJOS,250.17,1273.34,5.09,3.75,HIPERMERCADOS,2014,12
12-2014,COLES,743.45,836.6,1.13,3.09,HIPERMERCADOS,2014,12
12-2014,PEPINOS,276.99,382.41,1.38,2.16,HIPERMERCADOS,2014,12
12-2014,JUDIAS VERDES,355.38,1208.19,0.34,2.59,HIPERMERCADOS,2014,12
12-2014,PIMIENTOS,1357.71,2174.28,0.16,8.73,HIPERMERCADOS,2014,12
12-2014,CHAMPIÑONES+O.SETAS,464.72,1938.89,4.17,4.87,HIPERMERCADOS,2014,12
12-2014,LECHUGA/ESC./ENDIVIA,1224.98,3478.62,2.84,9.31,HIPERMERCADOS,2014,12
12-2014,ESPARRAGOS,74.14,350.26,4.72,0.75,HIPERMERCADOS,2014,12
12-2014,VERDURAS DE HOJA,263.54,885.58,3.36,2.56,HIPERMERCADOS,2014,12
12-2014,BERENJENAS,381.16,467.22,1.23,2.68,HIPERMERCADOS,2014,12
12-2014,ZANAHORIAS,1373.29,1016.52,0.74,7.73,HIPERMERCADOS,2014,12
12-2014,CALABACINES,1038.85,1537.65,1.48,5.83,HIPERMERCADOS,2014,12
12-2014,OTR.HORTALIZAS/VERD.,2986.38,6569.53,0.22,14.79,HIPERMERCADOS,2014,12
12-2014,VERD./HORT. IV GAMA,956.73,4250.73,4.44,9.03,HIPERMERCADOS,2014,12
12-2014,VERD./HORT. ECOLOGIC,610.29,870.48,1.43,2.29,HIPERMERCADOS,2014,12
01-2015,TOTAL PATATAS,13830.21,11419.26,0.83,17.09,HIPERMERCADOS,2015,1
01-2015,PATATAS FRESCAS,7546.3,4605.61,0.61,8.36,HIPERMERCADOS,2015,1
01-2015,PATATAS CONGELADAS,449.89,649.17,1.44,0.18,HIPERMERCADOS,2015,1
01-2015,PATATAS PROCESADAS,1166.81,6164.47,5.28,11.57,HIPERMERCADOS,2015,1
01-2015,T.HORTALIZAS FRESCAS,18345.44,33997.03,1.85,28.13,HIPERMERCADOS,2015,1
01-2015,TOMATES,3991.18,6667.15,1.67,15.07,HIPERMERCADOS,2015,1
01-2015,CEBOLLAS,2927.18,2922.58,0.01,10.58,HIPERMERCADOS,2015,1
01-2015,AJOS,240.0,1126.85,0.47,3.73,HIPERMERCADOS,2015,1
01-2015,COLES,535.55,638.61,1.19,2.41,HIPERMERCADOS,2015,1
01-2015,PEPINOS,466.96,642.69,1.38,3.62,HIPERMERCADOS,2015,1
01-2015,JUDIAS VERDES,369.44,1106.44,2.99,2.64,HIPERMERCADOS,2015,1
01-2015,PIMIENTOS,1353.76,2454.36,1.81,9.82,HIPERMERCADOS,2015,1
